,Origin ISO,Destination ISO,Religious similarity
296,AFG,FIN,0.005232410000000001
297,AFG,FJI,0.06046767
298,AFG,FLK,0.0008793
299,AFG,FRA,0.13788091
300,AFG,FRO,0.0003439
301,AFG,FSM,0.00039157000000000005
302,AFG,GAB,0.26658283999999993
303,AFG,GBR,0.07573223
304,AFG,GEO,0.17818221999999997
305,AFG,GHA,0.3023016
306,AFG,GIB,0.03625600000000001
307,AFG,GIN,1.5214189099999995
308,AFG,GLP,0.00028999999999999995
309,AFG,GMB,1.6099698600000003
310,AFG,GNB,0.7106381600000001
311,AFG,GNQ,0.07109541999999999
312,AFG,GRC,0.041723180000000006
313,AFG,GRD,0.005307940000000001
314,AFG,GRL,0.0004833
315,AFG,GTM,0.00063638
316,AFG,GUF,0.008973000000000002
317,AFG,GUM,0.0003177
318,AFG,GUY,0.07549749000000001
319,AFG,HKG,0.0011677
320,AFG,HND,0.000531
321,AFG,HRV,0.02678311
322,AFG,HTI,0.00066633
323,AFG,HUN,0.00128224
324,AFG,IDN,1.50132769
325,AFG,IMN,0.0061289000000000005
326,AFG,IND,0.22860923000000005
327,AFG,IRL,0.006208399999999999
328,AFG,IRN,1.22865209
329,AFG,IRQ,1.32459767
330,AFG,ISL,0.00552049
331,AFG,ISR,0.34314844
332,AFG,ITA,0.01222579
333,AFG,JAM,0.0012285800000000002
334,AFG,JOR,1.7295410000000002
335,AFG,JPN,0.0018379600000000005
336,AFG,KAZ,1.04716732
337,AFG,KEN,0.18470820000000002
338,AFG,KGZ,1.3829797500000003
339,AFG,KHM,0.03378870000000001
340,AFG,KIR,0.0003920199999999999
341,AFG,KNA,0.0032827600000000005
342,AFG,KOR,0.0025779800000000005
343,AFG,KWT,1.5171712
344,AFG,LAO,0.01747084
345,AFG,LBN,0.8051111800000001
346,AFG,LBR,0.2008755
347,AFG,LBY,1.7408432
348,AFG,LCA,0.00145044
349,AFG,LIE,0.05914610000000001
350,AFG,LKA,0.16775215999999998
351,AFG,LSO,0.0011417399999999998
352,AFG,LTU,0.0019912000000000003
353,AFG,LUX,0.03514805000000001
354,AFG,LVA,0.0008880499999999999
355,AFG,MAC,0.00034690000000000003
356,AFG,MAR,1.7759699599999998
357,AFG,MCO,0.00027
358,AFG,MDA,0.06517451
359,AFG,MDG,0.09683561000000002
360,AFG,MDV,1.72309053
361,AFG,MEX,0.00037328
362,AFG,MHL,0.00048444
363,AFG,MKD,0.61432494
364,AFG,MLI,1.6817809700000002
365,AFG,MLT,0.010335860000000002
366,AFG,MMR,0.07500772000000001
367,AFG,MNE,0.19164773
368,AFG,MNG,0.030778020000000003
369,AFG,MNP,0.0072556999999999995
370,AFG,MOZ,0.4351999100000001
371,AFG,MRT,1.74173557
372,AFG,MSR,0.004588300000000001
373,AFG,MTQ,0.005287
